"ID";"Geslacht";"Leeftijd";"Onderwijssoort";"Migratieachtergrond";"RegioS";"Perioden";"LeerlingenDeelnemersStudenten_1"
"78406305";"3000   ";"10000";"T001345";"1012600";"NL01  ";"2005SJ00";"  362149"
"78406306";"3000   ";"10000";"T001345";"1012600";"NL01  ";"2006SJ00";"  363827"
"78406307";"3000   ";"10000";"T001345";"1012600";"NL01  ";"2007SJ00";"  373344"
"78406308";"3000   ";"10000";"T001345";"1012600";"NL01  ";"2008SJ00";"  369759"
"78406309";"3000   ";"10000";"T001345";"1012600";"NL01  ";"2009SJ00";"  368330"
"78406310";"3000   ";"10000";"T001345";"1012600";"NL01  ";"2010SJ00";"  368107"
"78406311";"3000   ";"10000";"T001345";"1012600";"NL01  ";"2011SJ00";"  371135"
"78406312";"3000   ";"10000";"T001345";"1012600";"NL01  ";"2012SJ00";"  375391"
"78406313";"3000   ";"10000";"T001345";"1012600";"NL01  ";"2013SJ00";"  380008"
"78406314";"3000   ";"10000";"T001345";"1012600";"NL01  ";"2014SJ00";"  382946"
"78406315";"3000   ";"10000";"T001345";"1012600";"NL01  ";"2015SJ00";"  385058"
"78406316";"3000   ";"10000";"T001345";"1012600";"NL01  ";"2016SJ00";"  381716"
"78406317";"3000   ";"10000";"T001345";"1012600";"NL01  ";"2017SJ00";"  374444"
"78406318";"3000   ";"10000";"T001345";"1012600";"NL01  ";"2018SJ00";"  364535"
"78406319";"3000   ";"10000";"T001345";"1012600";"NL01  ";"2019SJ00";"  353915"
"78420445";"3000   ";"10000";"T001345";"2012605";"NL01  ";"2005SJ00";"   94375"
"78420446";"3000   ";"10000";"T001345";"2012605";"NL01  ";"2006SJ00";"   94193"
"78420447";"3000   ";"10000";"T001345";"2012605";"NL01  ";"2007SJ00";"   99204"
"78420448";"3000   ";"10000";"T001345";"2012605";"NL01  ";"2008SJ00";"   98939"
"78420449";"3000   ";"10000";"T001345";"2012605";"NL01  ";"2009SJ00";"  100243"
"78420450";"3000   ";"10000";"T001345";"2012605";"NL01  ";"2010SJ00";"  102093"
"78420451";"3000   ";"10000";"T001345";"2012605";"NL01  ";"2011SJ00";"  103538"
"78420452";"3000   ";"10000";"T001345";"2012605";"NL01  ";"2012SJ00";"  105755"
"78420453";"3000   ";"10000";"T001345";"2012605";"NL01  ";"2013SJ00";"  108202"
"78420454";"3000   ";"10000";"T001345";"2012605";"NL01  ";"2014SJ00";"  110993"
"78420455";"3000   ";"10000";"T001345";"2012605";"NL01  ";"2015SJ00";"  114227"
"78420456";"3000   ";"10000";"T001345";"2012605";"NL01  ";"2016SJ00";"  118444"
"78420457";"3000   ";"10000";"T001345";"2012605";"NL01  ";"2017SJ00";"  120280"
"78420458";"3000   ";"10000";"T001345";"2012605";"NL01  ";"2018SJ00";"  121108"
"78420459";"3000   ";"10000";"T001345";"2012605";"NL01  ";"2019SJ00";"  121849"
"78434585";"3000   ";"10000";"T001345";"2012655";"NL01  ";"2005SJ00";"   29718"
"78434586";"3000   ";"10000";"T001345";"2012655";"NL01  ";"2006SJ00";"   29563"
"78434587";"3000   ";"10000";"T001345";"2012655";"NL01  ";"2007SJ00";"   30039"
"78434588";"3000   ";"10000";"T001345";"2012655";"NL01  ";"2008SJ00";"   30024"
"78434589";"3000   ";"10000";"T001345";"2012655";"NL01  ";"2009SJ00";"   30275"
"78434590";"3000   ";"10000";"T001345";"2012655";"NL01  ";"2010SJ00";"   30587"
"78434591";"3000   ";"10000";"T001345";"2012655";"NL01  ";"2011SJ00";"   31009"
"78434592";"3000   ";"10000";"T001345";"2012655";"NL01  ";"2012SJ00";"   31594"
"78434593";"3000   ";"10000";"T001345";"2012655";"NL01  ";"2013SJ00";"   32093"
"78434594";"3000   ";"10000";"T001345";"2012655";"NL01  ";"2014SJ00";"   32791"
"78434595";"3000   ";"10000";"T001345";"2012655";"NL01  ";"2015SJ00";"   33606"
"78434596";"3000   ";"10000";"T001345";"2012655";"NL01  ";"2016SJ00";"   34234"
"78434597";"3000   ";"10000";"T001345";"2012655";"NL01  ";"2017SJ00";"   34524"
"78434598";"3000   ";"10000";"T001345";"2012655";"NL01  ";"2018SJ00";"   35361"
"78434599";"3000   ";"10000";"T001345";"2012655";"NL01  ";"2019SJ00";"   36174"
"78448725";"3000   ";"10000";"T001345";"2012657";"NL01  ";"2005SJ00";"   64657"
"78448726";"3000   ";"10000";"T001345";"2012657";"NL01  ";"2006SJ00";"   64630"
"78448727";"3000   ";"10000";"T001345";"2012657";"NL01  ";"2007SJ00";"   69165"
"78448728";"3000   ";"10000";"T001345";"2012657";"NL01  ";"2008SJ00";"   68915"
"78448729";"3000   ";"10000";"T001345";"2012657";"NL01  ";"2009SJ00";"   69968"
"78448730";"3000   ";"10000";"T001345";"2012657";"NL01  ";"2010SJ00";"   71506"
"78448731";"3000   ";"10000";"T001345";"2012657";"NL01  ";"2011SJ00";"   72529"
"78448732";"3000   ";"10000";"T001345";"2012657";"NL01  ";"2012SJ00";"   74161"
"78448733";"3000   ";"10000";"T001345";"2012657";"NL01  ";"2013SJ00";"   76109"
"78448734";"3000   ";"10000";"T001345";"2012657";"NL01  ";"2014SJ00";"   78202"
"78448735";"3000   ";"10000";"T001345";"2012657";"NL01  ";"2015SJ00";"   80621"
"78448736";"3000   ";"10000";"T001345";"2012657";"NL01  ";"2016SJ00";"   84210"
"78448737";"3000   ";"10000";"T001345";"2012657";"NL01  ";"2017SJ00";"   85756"
"78448738";"3000   ";"10000";"T001345";"2012657";"NL01  ";"2018SJ00";"   85747"
"78448739";"3000   ";"10000";"T001345";"2012657";"NL01  ";"2019SJ00";"   85675"
"79650625";"3000   ";"10000";"A041687";"1012600";"NL01  ";"2005SJ00";"  193188"
"79650626";"3000   ";"10000";"A041687";"1012600";"NL01  ";"2006SJ00";"  197451"
"79650627";"3000   ";"10000";"A041687";"1012600";"NL01  ";"2007SJ00";"  202146"
"79650628";"3000   ";"10000";"A041687";"1012600";"NL01  ";"2008SJ00";"  203345"
"79650629";"3000   ";"10000";"A041687";"1012600";"NL01  ";"2009SJ00";"  204467"
"79650630";"3000   ";"10000";"A041687";"1012600";"NL01  ";"2010SJ00";"  208352"
"79650631";"3000   ";"10000";"A041687";"1012600";"NL01  ";"2011SJ00";"  205129"
"79650632";"3000   ";"10000";"A041687";"1012600";"NL01  ";"2012SJ00";"  199503"
"79650633";"3000   ";"10000";"A041687";"1012600";"NL01  ";"2013SJ00";"  193188"
"79650634";"3000   ";"10000";"A041687";"1012600";"NL01  ";"2014SJ00";"  185618"
"79650635";"3000   ";"10000";"A041687";"1012600";"NL01  ";"2015SJ00";"  184144"
"79650636";"3000   ";"10000";"A041687";"1012600";"NL01  ";"2016SJ00";"  186930"
"79650637";"3000   ";"10000";"A041687";"1012600";"NL01  ";"2017SJ00";"  186809"
"79650638";"3000   ";"10000";"A041687";"1012600";"NL01  ";"2018SJ00";"  187332"
"79650639";"3000   ";"10000";"A041687";"1012600";"NL01  ";"2019SJ00";"  186440"
"79664765";"3000   ";"10000";"A041687";"2012605";"NL01  ";"2005SJ00";"   63215"
"79664766";"3000   ";"10000";"A041687";"2012605";"NL01  ";"2006SJ00";"   64982"
"79664767";"3000   ";"10000";"A041687";"2012605";"NL01  ";"2007SJ00";"   67104"
"79664768";"3000   ";"10000";"A041687";"2012605";"NL01  ";"2008SJ00";"   67504"
"79664769";"3000   ";"10000";"A041687";"2012605";"NL01  ";"2009SJ00";"   69225"
"79664770";"3000   ";"10000";"A041687";"2012605";"NL01  ";"2010SJ00";"   70048"
"79664771";"3000   ";"10000";"A041687";"2012605";"NL01  ";"2011SJ00";"   68285"
"79664772";"3000   ";"10000";"A041687";"2012605";"NL01  ";"2012SJ00";"   66553"
"79664773";"3000   ";"10000";"A041687";"2012605";"NL01  ";"2013SJ00";"   65874"
"79664774";"3000   ";"10000";"A041687";"2012605";"NL01  ";"2014SJ00";"   63832"
"79664775";"3000   ";"10000";"A041687";"2012605";"NL01  ";"2015SJ00";"   63264"
"79664776";"3000   ";"10000";"A041687";"2012605";"NL01  ";"2016SJ00";"   64467"
"79664777";"3000   ";"10000";"A041687";"2012605";"NL01  ";"2017SJ00";"   66347"
"79664778";"3000   ";"10000";"A041687";"2012605";"NL01  ";"2018SJ00";"   70485"
"79664779";"3000   ";"10000";"A041687";"2012605";"NL01  ";"2019SJ00";"   72741"
"79678905";"3000   ";"10000";"A041687";"2012655";"NL01  ";"2005SJ00";"   16095"
"79678906";"3000   ";"10000";"A041687";"2012655";"NL01  ";"2006SJ00";"   16325"
"79678907";"3000   ";"10000";"A041687";"2012655";"NL01  ";"2007SJ00";"   16773"
"79678908";"3000   ";"10000";"A041687";"2012655";"NL01  ";"2008SJ00";"   16870"
"79678909";"3000   ";"10000";"A041687";"2012655";"NL01  ";"2009SJ00";"   17020"
"79678910";"3000   ";"10000";"A041687";"2012655";"NL01  ";"2010SJ00";"   17272"
"79678911";"3000   ";"10000";"A041687";"2012655";"NL01  ";"2011SJ00";"   16801"
"79678912";"3000   ";"10000";"A041687";"2012655";"NL01  ";"2012SJ00";"   16272"
"79678913";"3000   ";"10000";"A041687";"2012655";"NL01  ";"2013SJ00";"   15685"
"79678914";"3000   ";"10000";"A041687";"2012655";"NL01  ";"2014SJ00";"   14910"
"79678915";"3000   ";"10000";"A041687";"2012655";"NL01  ";"2015SJ00";"   14468"
"79678916";"3000   ";"10000";"A041687";"2012655";"NL01  ";"2016SJ00";"   14550"
"79678917";"3000   ";"10000";"A041687";"2012655";"NL01  ";"2017SJ00";"   14490"
"79678918";"3000   ";"10000";"A041687";"2012655";"NL01  ";"2018SJ00";"   14631"
"79678919";"3000   ";"10000";"A041687";"2012655";"NL01  ";"2019SJ00";"   14824"
"79693045";"3000   ";"10000";"A041687";"2012657";"NL01  ";"2005SJ00";"   47120"
"79693046";"3000   ";"10000";"A041687";"2012657";"NL01  ";"2006SJ00";"   48657"
"79693047";"3000   ";"10000";"A041687";"2012657";"NL01  ";"2007SJ00";"   50331"
"79693048";"3000   ";"10000";"A041687";"2012657";"NL01  ";"2008SJ00";"   50634"
"79693049";"3000   ";"10000";"A041687";"2012657";"NL01  ";"2009SJ00";"   52205"
"79693050";"3000   ";"10000";"A041687";"2012657";"NL01  ";"2010SJ00";"   52776"
"79693051";"3000   ";"10000";"A041687";"2012657";"NL01  ";"2011SJ00";"   51484"
"79693052";"3000   ";"10000";"A041687";"2012657";"NL01  ";"2012SJ00";"   50281"
"79693053";"3000   ";"10000";"A041687";"2012657";"NL01  ";"2013SJ00";"   50189"
"79693054";"3000   ";"10000";"A041687";"2012657";"NL01  ";"2014SJ00";"   48922"
"79693055";"3000   ";"10000";"A041687";"2012657";"NL01  ";"2015SJ00";"   48796"
"79693056";"3000   ";"10000";"A041687";"2012657";"NL01  ";"2016SJ00";"   49917"
"79693057";"3000   ";"10000";"A041687";"2012657";"NL01  ";"2017SJ00";"   51857"
"79693058";"3000   ";"10000";"A041687";"2012657";"NL01  ";"2018SJ00";"   55854"
"79693059";"3000   ";"10000";"A041687";"2012657";"NL01  ";"2019SJ00";"   57917"
"80894945";"3000   ";"10000";"A025294";"1012600";"NL01  ";"2005SJ00";"  131663"
"80894946";"3000   ";"10000";"A025294";"1012600";"NL01  ";"2006SJ00";"  134234"
"80894947";"3000   ";"10000";"A025294";"1012600";"NL01  ";"2007SJ00";"  136138"
"80894948";"3000   ";"10000";"A025294";"1012600";"NL01  ";"2008SJ00";"  138017"
"80894949";"3000   ";"10000";"A025294";"1012600";"NL01  ";"2009SJ00";"  144502"
"80894950";"3000   ";"10000";"A025294";"1012600";"NL01  ";"2010SJ00";"  149360"
"80894951";"3000   ";"10000";"A025294";"1012600";"NL01  ";"2011SJ00";"  152809"
"80894952";"3000   ";"10000";"A025294";"1012600";"NL01  ";"2012SJ00";"  152304"
"80894953";"3000   ";"10000";"A025294";"1012600";"NL01  ";"2013SJ00";"  159689"
"80894954";"3000   ";"10000";"A025294";"1012600";"NL01  ";"2014SJ00";"  162842"
"80894955";"3000   ";"10000";"A025294";"1012600";"NL01  ";"2015SJ00";"  161230"
"80894956";"3000   ";"10000";"A025294";"1012600";"NL01  ";"2016SJ00";"  162384"
"80894957";"3000   ";"10000";"A025294";"1012600";"NL01  ";"2017SJ00";"  164234"
"80894958";"3000   ";"10000";"A025294";"1012600";"NL01  ";"2018SJ00";"  163723"
"80894959";"3000   ";"10000";"A025294";"1012600";"NL01  ";"2019SJ00";"  163618"
"80909085";"3000   ";"10000";"A025294";"2012605";"NL01  ";"2005SJ00";"   35640"
"80909086";"3000   ";"10000";"A025294";"2012605";"NL01  ";"2006SJ00";"   37226"
"80909087";"3000   ";"10000";"A025294";"2012605";"NL01  ";"2007SJ00";"   39446"
"80909088";"3000   ";"10000";"A025294";"2012605";"NL01  ";"2008SJ00";"   41430"
"80909089";"3000   ";"10000";"A025294";"2012605";"NL01  ";"2009SJ00";"   43497"
"80909090";"3000   ";"10000";"A025294";"2012605";"NL01  ";"2010SJ00";"   46474"
"80909091";"3000   ";"10000";"A025294";"2012605";"NL01  ";"2011SJ00";"   48218"
"80909092";"3000   ";"10000";"A025294";"2012605";"NL01  ";"2012SJ00";"   50207"
"80909093";"3000   ";"10000";"A025294";"2012605";"NL01  ";"2013SJ00";"   53025"
"80909094";"3000   ";"10000";"A025294";"2012605";"NL01  ";"2014SJ00";"   54344"
"80909095";"3000   ";"10000";"A025294";"2012605";"NL01  ";"2015SJ00";"   54349"
"80909096";"3000   ";"10000";"A025294";"2012605";"NL01  ";"2016SJ00";"   55336"
"80909097";"3000   ";"10000";"A025294";"2012605";"NL01  ";"2017SJ00";"   57148"
"80909098";"3000   ";"10000";"A025294";"2012605";"NL01  ";"2018SJ00";"   58665"
"80909099";"3000   ";"10000";"A025294";"2012605";"NL01  ";"2019SJ00";"   60571"
"80923225";"3000   ";"10000";"A025294";"2012655";"NL01  ";"2005SJ00";"   14053"
"80923226";"3000   ";"10000";"A025294";"2012655";"NL01  ";"2006SJ00";"   14471"
"80923227";"3000   ";"10000";"A025294";"2012655";"NL01  ";"2007SJ00";"   15383"
"80923228";"3000   ";"10000";"A025294";"2012655";"NL01  ";"2008SJ00";"   16044"
"80923229";"3000   ";"10000";"A025294";"2012655";"NL01  ";"2009SJ00";"   16026"
"80923230";"3000   ";"10000";"A025294";"2012655";"NL01  ";"2010SJ00";"   17724"
"80923231";"3000   ";"10000";"A025294";"2012655";"NL01  ";"2011SJ00";"   18343"
"80923232";"3000   ";"10000";"A025294";"2012655";"NL01  ";"2012SJ00";"   20189"
"80923233";"3000   ";"10000";"A025294";"2012655";"NL01  ";"2013SJ00";"   21353"
"80923234";"3000   ";"10000";"A025294";"2012655";"NL01  ";"2014SJ00";"   22429"
"80923235";"3000   ";"10000";"A025294";"2012655";"NL01  ";"2015SJ00";"   22406"
"80923236";"3000   ";"10000";"A025294";"2012655";"NL01  ";"2016SJ00";"   22635"
"80923237";"3000   ";"10000";"A025294";"2012655";"NL01  ";"2017SJ00";"   23131"
"80923238";"3000   ";"10000";"A025294";"2012655";"NL01  ";"2018SJ00";"   23694"
"80923239";"3000   ";"10000";"A025294";"2012655";"NL01  ";"2019SJ00";"   24247"
"80937365";"3000   ";"10000";"A025294";"2012657";"NL01  ";"2005SJ00";"   21587"
"80937366";"3000   ";"10000";"A025294";"2012657";"NL01  ";"2006SJ00";"   22755"
"80937367";"3000   ";"10000";"A025294";"2012657";"NL01  ";"2007SJ00";"   24063"
"80937368";"3000   ";"10000";"A025294";"2012657";"NL01  ";"2008SJ00";"   25386"
"80937369";"3000   ";"10000";"A025294";"2012657";"NL01  ";"2009SJ00";"   27471"
"80937370";"3000   ";"10000";"A025294";"2012657";"NL01  ";"2010SJ00";"   28750"
"80937371";"3000   ";"10000";"A025294";"2012657";"NL01  ";"2011SJ00";"   29875"
"80937372";"3000   ";"10000";"A025294";"2012657";"NL01  ";"2012SJ00";"   30018"
"80937373";"3000   ";"10000";"A025294";"2012657";"NL01  ";"2013SJ00";"   31672"
"80937374";"3000   ";"10000";"A025294";"2012657";"NL01  ";"2014SJ00";"   31915"
"80937375";"3000   ";"10000";"A025294";"2012657";"NL01  ";"2015SJ00";"   31943"
"80937376";"3000   ";"10000";"A025294";"2012657";"NL01  ";"2016SJ00";"   32701"
"80937377";"3000   ";"10000";"A025294";"2012657";"NL01  ";"2017SJ00";"   34017"
"80937378";"3000   ";"10000";"A025294";"2012657";"NL01  ";"2018SJ00";"   34971"
"80937379";"3000   ";"10000";"A025294";"2012657";"NL01  ";"2019SJ00";"   36324"
"81050485";"3000   ";"10000";"A025297";"1012600";"NL01  ";"2005SJ00";"   79215"
"81050486";"3000   ";"10000";"A025297";"1012600";"NL01  ";"2006SJ00";"   78932"
"81050487";"3000   ";"10000";"A025297";"1012600";"NL01  ";"2007SJ00";"   78929"
"81050488";"3000   ";"10000";"A025297";"1012600";"NL01  ";"2008SJ00";"   80489"
"81050489";"3000   ";"10000";"A025297";"1012600";"NL01  ";"2009SJ00";"   83768"
"81050490";"3000   ";"10000";"A025297";"1012600";"NL01  ";"2010SJ00";"   85573"
"81050491";"3000   ";"10000";"A025297";"1012600";"NL01  ";"2011SJ00";"   85664"
"81050492";"3000   ";"10000";"A025297";"1012600";"NL01  ";"2012SJ00";"   83296"
"81050493";"3000   ";"10000";"A025297";"1012600";"NL01  ";"2013SJ00";"   85854"
"81050494";"3000   ";"10000";"A025297";"1012600";"NL01  ";"2014SJ00";"   87107"
"81050495";"3000   ";"10000";"A025297";"1012600";"NL01  ";"2015SJ00";"   88048"
"81050496";"3000   ";"10000";"A025297";"1012600";"NL01  ";"2016SJ00";"   88461"
"81050497";"3000   ";"10000";"A025297";"1012600";"NL01  ";"2017SJ00";"   90260"
"81050498";"3000   ";"10000";"A025297";"1012600";"NL01  ";"2018SJ00";"   92446"
"81050499";"3000   ";"10000";"A025297";"1012600";"NL01  ";"2019SJ00";"   93180"
"81064625";"3000   ";"10000";"A025297";"2012605";"NL01  ";"2005SJ00";"   21918"
"81064626";"3000   ";"10000";"A025297";"2012605";"NL01  ";"2006SJ00";"   22356"
"81064627";"3000   ";"10000";"A025297";"2012605";"NL01  ";"2007SJ00";"   23351"
"81064628";"3000   ";"10000";"A025297";"2012605";"NL01  ";"2008SJ00";"   25352"
"81064629";"3000   ";"10000";"A025297";"2012605";"NL01  ";"2009SJ00";"   26474"
"81064630";"3000   ";"10000";"A025297";"2012605";"NL01  ";"2010SJ00";"   30472"
"81064631";"3000   ";"10000";"A025297";"2012605";"NL01  ";"2011SJ00";"   31843"
"81064632";"3000   ";"10000";"A025297";"2012605";"NL01  ";"2012SJ00";"   33521"
"81064633";"3000   ";"10000";"A025297";"2012605";"NL01  ";"2013SJ00";"   35423"
"81064634";"3000   ";"10000";"A025297";"2012605";"NL01  ";"2014SJ00";"   37133"
"81064635";"3000   ";"10000";"A025297";"2012605";"NL01  ";"2015SJ00";"   39552"
"81064636";"3000   ";"10000";"A025297";"2012605";"NL01  ";"2016SJ00";"   42163"
"81064637";"3000   ";"10000";"A025297";"2012605";"NL01  ";"2017SJ00";"   45576"
"81064638";"3000   ";"10000";"A025297";"2012605";"NL01  ";"2018SJ00";"   49268"
"81064639";"3000   ";"10000";"A025297";"2012605";"NL01  ";"2019SJ00";"   52707"
"81078765";"3000   ";"10000";"A025297";"2012655";"NL01  ";"2005SJ00";"   10523"
"81078766";"3000   ";"10000";"A025297";"2012655";"NL01  ";"2006SJ00";"   10630"
"81078767";"3000   ";"10000";"A025297";"2012655";"NL01  ";"2007SJ00";"   11191"
"81078768";"3000   ";"10000";"A025297";"2012655";"NL01  ";"2008SJ00";"   12549"
"81078769";"3000   ";"10000";"A025297";"2012655";"NL01  ";"2009SJ00";"   12795"
"81078770";"3000   ";"10000";"A025297";"2012655";"NL01  ";"2010SJ00";"   15911"
"81078771";"3000   ";"10000";"A025297";"2012655";"NL01  ";"2011SJ00";"   16948"
"81078772";"3000   ";"10000";"A025297";"2012655";"NL01  ";"2012SJ00";"   18450"
"81078773";"3000   ";"10000";"A025297";"2012655";"NL01  ";"2013SJ00";"   19523"
"81078774";"3000   ";"10000";"A025297";"2012655";"NL01  ";"2014SJ00";"   20815"
"81078775";"3000   ";"10000";"A025297";"2012655";"NL01  ";"2015SJ00";"   22214"
"81078776";"3000   ";"10000";"A025297";"2012655";"NL01  ";"2016SJ00";"   24123"
"81078777";"3000   ";"10000";"A025297";"2012655";"NL01  ";"2017SJ00";"   26216"
"81078778";"3000   ";"10000";"A025297";"2012655";"NL01  ";"2018SJ00";"   28493"
"81078779";"3000   ";"10000";"A025297";"2012655";"NL01  ";"2019SJ00";"   30299"
"81092905";"3000   ";"10000";"A025297";"2012657";"NL01  ";"2005SJ00";"   11395"
"81092906";"3000   ";"10000";"A025297";"2012657";"NL01  ";"2006SJ00";"   11726"
"81092907";"3000   ";"10000";"A025297";"2012657";"NL01  ";"2007SJ00";"   12160"
"81092908";"3000   ";"10000";"A025297";"2012657";"NL01  ";"2008SJ00";"   12803"
"81092909";"3000   ";"10000";"A025297";"2012657";"NL01  ";"2009SJ00";"   13679"
"81092910";"3000   ";"10000";"A025297";"2012657";"NL01  ";"2010SJ00";"   14561"
"81092911";"3000   ";"10000";"A025297";"2012657";"NL01  ";"2011SJ00";"   14895"
"81092912";"3000   ";"10000";"A025297";"2012657";"NL01  ";"2012SJ00";"   15071"
"81092913";"3000   ";"10000";"A025297";"2012657";"NL01  ";"2013SJ00";"   15900"
"81092914";"3000   ";"10000";"A025297";"2012657";"NL01  ";"2014SJ00";"   16318"
"81092915";"3000   ";"10000";"A025297";"2012657";"NL01  ";"2015SJ00";"   17338"
"81092916";"3000   ";"10000";"A025297";"2012657";"NL01  ";"2016SJ00";"   18040"
"81092917";"3000   ";"10000";"A025297";"2012657";"NL01  ";"2017SJ00";"   19360"
"81092918";"3000   ";"10000";"A025297";"2012657";"NL01  ";"2018SJ00";"   20775"
"81092919";"3000   ";"10000";"A025297";"2012657";"NL01  ";"2019SJ00";"   22408"
"156798465";"4000   ";"10000";"T001345";"1012600";"NL01  ";"2005SJ00";"  359176"
"156798466";"4000   ";"10000";"T001345";"1012600";"NL01  ";"2006SJ00";"  360667"
"156798467";"4000   ";"10000";"T001345";"1012600";"NL01  ";"2007SJ00";"  367627"
"156798468";"4000   ";"10000";"T001345";"1012600";"NL01  ";"2008SJ00";"  364899"
"156798469";"4000   ";"10000";"T001345";"1012600";"NL01  ";"2009SJ00";"  364077"
"156798470";"4000   ";"10000";"T001345";"1012600";"NL01  ";"2010SJ00";"  365194"
"156798471";"4000   ";"10000";"T001345";"1012600";"NL01  ";"2011SJ00";"  367849"
"156798472";"4000   ";"10000";"T001345";"1012600";"NL01  ";"2012SJ00";"  371751"
"156798473";"4000   ";"10000";"T001345";"1012600";"NL01  ";"2013SJ00";"  375588"
"156798474";"4000   ";"10000";"T001345";"1012600";"NL01  ";"2014SJ00";"  378830"
"156798475";"4000   ";"10000";"T001345";"1012600";"NL01  ";"2015SJ00";"  380502"
"156798476";"4000   ";"10000";"T001345";"1012600";"NL01  ";"2016SJ00";"  377144"
"156798477";"4000   ";"10000";"T001345";"1012600";"NL01  ";"2017SJ00";"  370376"
"156798478";"4000   ";"10000";"T001345";"1012600";"NL01  ";"2018SJ00";"  360644"
"156798479";"4000   ";"10000";"T001345";"1012600";"NL01  ";"2019SJ00";"  350493"
"156812605";"4000   ";"10000";"T001345";"2012605";"NL01  ";"2005SJ00";"   94447"
"156812606";"4000   ";"10000";"T001345";"2012605";"NL01  ";"2006SJ00";"   94573"
"156812607";"4000   ";"10000";"T001345";"2012605";"NL01  ";"2007SJ00";"   98805"
"156812608";"4000   ";"10000";"T001345";"2012605";"NL01  ";"2008SJ00";"   98435"
"156812609";"4000   ";"10000";"T001345";"2012605";"NL01  ";"2009SJ00";"   99427"
"156812610";"4000   ";"10000";"T001345";"2012605";"NL01  ";"2010SJ00";"  100759"
"156812611";"4000   ";"10000";"T001345";"2012605";"NL01  ";"2011SJ00";"  102266"
"156812612";"4000   ";"10000";"T001345";"2012605";"NL01  ";"2012SJ00";"  104489"
"156812613";"4000   ";"10000";"T001345";"2012605";"NL01  ";"2013SJ00";"  106599"
"156812614";"4000   ";"10000";"T001345";"2012605";"NL01  ";"2014SJ00";"  108803"
"156812615";"4000   ";"10000";"T001345";"2012605";"NL01  ";"2015SJ00";"  111447"
"156812616";"4000   ";"10000";"T001345";"2012605";"NL01  ";"2016SJ00";"  114733"
"156812617";"4000   ";"10000";"T001345";"2012605";"NL01  ";"2017SJ00";"  117460"
"156812618";"4000   ";"10000";"T001345";"2012605";"NL01  ";"2018SJ00";"  119403"
"156812619";"4000   ";"10000";"T001345";"2012605";"NL01  ";"2019SJ00";"  120992"
"156826745";"4000   ";"10000";"T001345";"2012655";"NL01  ";"2005SJ00";"   29888"
"156826746";"4000   ";"10000";"T001345";"2012655";"NL01  ";"2006SJ00";"   29544"
"156826747";"4000   ";"10000";"T001345";"2012655";"NL01  ";"2007SJ00";"   30112"
"156826748";"4000   ";"10000";"T001345";"2012655";"NL01  ";"2008SJ00";"   29860"
"156826749";"4000   ";"10000";"T001345";"2012655";"NL01  ";"2009SJ00";"   29837"
"156826750";"4000   ";"10000";"T001345";"2012655";"NL01  ";"2010SJ00";"   29890"
"156826751";"4000   ";"10000";"T001345";"2012655";"NL01  ";"2011SJ00";"   30221"
"156826752";"4000   ";"10000";"T001345";"2012655";"NL01  ";"2012SJ00";"   30726"
"156826753";"4000   ";"10000";"T001345";"2012655";"NL01  ";"2013SJ00";"   31343"
"156826754";"4000   ";"10000";"T001345";"2012655";"NL01  ";"2014SJ00";"   32062"
"156826755";"4000   ";"10000";"T001345";"2012655";"NL01  ";"2015SJ00";"   32854"
"156826756";"4000   ";"10000";"T001345";"2012655";"NL01  ";"2016SJ00";"   33746"
"156826757";"4000   ";"10000";"T001345";"2012655";"NL01  ";"2017SJ00";"   34475"
"156826758";"4000   ";"10000";"T001345";"2012655";"NL01  ";"2018SJ00";"   35261"
"156826759";"4000   ";"10000";"T001345";"2012655";"NL01  ";"2019SJ00";"   35948"
"156840885";"4000   ";"10000";"T001345";"2012657";"NL01  ";"2005SJ00";"   64559"
"156840886";"4000   ";"10000";"T001345";"2012657";"NL01  ";"2006SJ00";"   65029"
"156840887";"4000   ";"10000";"T001345";"2012657";"NL01  ";"2007SJ00";"   68693"
